"","X","arrest_year","arrest_month","perceived_race","age_group","youth","booked"
"1",1,2020,"July-Sept","White","Aged 35 to 44 years","Not a youth",1
"2",2,2020,"July-Sept","White","Aged 35 to 44 years","Not a youth",1
"3",3,2020,"Oct-Dec","Unknown or Legacy","Aged 35 to 44 years","Not a youth",1
"4",4,2021,"Jan-Mar","Black","Aged 25 to 34 years","Not a youth",NA
"5",5,2021,"Jan-Mar","South Asian","Aged 25 to 34 years","Not a youth",1
"6",6,2021,"Apr-June","South Asian","Aged 25 to 34 years","Not a youth",1
"7",7,2021,"Jan-Mar","Black","Aged 25 to 34 years","Not a youth",1
"8",8,2021,"Jan-Mar","Black","Aged 25 to 34 years","Not a youth",NA
"9",9,2021,"Jan-Mar","Black","Aged 25 to 34 years","Not a youth",NA
"10",10,2021,"Apr-June","Black","Aged 25 to 34 years","Not a youth",1
"11",11,2021,"Apr-June","Black","Aged 25 to 34 years","Not a youth",1
"12",12,2021,"Apr-June","Black","Aged 25 to 34 years","Not a youth",NA
"13",13,2021,"Apr-June","Black","Aged 25 to 34 years","Not a youth",1
"14",14,2021,"Oct-Dec","Indigenous","Aged 45 to 54 years","Not a youth",NA
"15",15,2020,"Apr-June","Black","Aged 25 to 34 years","Not a youth",1
"16",16,2020,"Apr-June","Unknown or Legacy","Aged 25 to 34 years","Not a youth",NA
"17",17,2020,"Apr-June","Unknown or Legacy","Aged 25 to 34 years","Not a youth",1
"18",18,2020,"Apr-June","Unknown or Legacy","Aged 25 to 34 years","Not a youth",NA
"19",19,2020,"Apr-June","Unknown or Legacy","Aged 25 to 34 years","Not a youth",1
"20",20,2020,"Oct-Dec","Middle-Eastern","Aged 25 to 34 years","Not a youth",NA
"21",21,2021,"Oct-Dec","Middle-Eastern","Aged 25 to 34 years","Not a youth",1
"22",22,2020,"Apr-June","Unknown or Legacy","Aged 25 to 34 years","Not a youth",NA
"23",23,2020,"Jan-Mar","Black","Aged 45 to 54 years","Not a youth",1
"24",24,2021,"Oct-Dec","White","Aged 25 to 34 years","Not a youth",1
"25",25,2020,"Jan-Mar","Black","Aged 25 to 34 years","Not a youth",NA
"26",26,2020,"Oct-Dec","White","Aged 35 to 44 years","Not a youth",1
"27",27,2020,"July-Sept","White","Aged 35 to 44 years","Not a youth",1
"28",28,2021,"Apr-June","Black","Aged 25 to 34 years","Not a youth",NA
"29",29,2021,"Jan-Mar","White","Aged 55 to 64 years","Not a youth",NA
"30",30,2020,"July-Sept","South Asian","Aged 25 to 34 years","Not a youth",NA
"31",31,2020,"Oct-Dec","Black","Aged 25 to 34 years","Not a youth",1
"32",32,2021,"Oct-Dec","Black","Aged 25 to 34 years","Not a youth",NA
"33",33,2020,"Oct-Dec","South Asian","Aged 35 to 44 years","Not a youth",1
"34",34,2021,"Jan-Mar","White","Aged 35 to 44 years","Not a youth",1
"35",35,2021,"July-Sept","White","Aged 25 to 34 years","Not a youth",NA
"36",36,2020,"July-Sept","White","Aged 25 to 34 years","Not a youth",NA
"37",37,2021,"July-Sept","White","Aged 25 to 34 years","Not a youth",NA
"38",38,2020,"Jan-Mar","White","Aged 35 to 44 years","Not a youth",1
"39",39,2020,"Apr-June","Latino","Aged 18 to 24 years","Not a youth",1
"40",40,2020,"July-Sept","Latino","Aged 18 to 24 years","Not a youth",1
"41",41,2020,"Oct-Dec","Latino","Aged 18 to 24 years","Not a youth",NA
"42",42,2021,"Apr-June","White","Aged 25 to 34 years","Not a youth",1
"43",43,2020,"July-Sept","South Asian","Aged 25 to 34 years","Not a youth",1
"44",44,2020,"July-Sept","South Asian","Aged 25 to 34 years","Not a youth",NA
"45",45,2020,"Oct-Dec","South Asian","Aged 25 to 34 years","Not a youth",1
"46",46,2020,"Oct-Dec","South Asian","Aged 25 to 34 years","Not a youth",1
"47",47,2021,"Apr-June","Unknown or Legacy","Aged 25 to 34 years","Not a youth",1
"48",48,2021,"Apr-June","East/Southeast Asian","Aged 25 to 34 years","Not a youth",1
"49",49,2021,"Apr-June","East/Southeast Asian","Aged 25 to 34 years","Not a youth",NA
"50",50,2021,"Apr-June","East/Southeast Asian","Aged 25 to 34 years","Not a youth",NA
"51",51,2020,"Jan-Mar","White","Aged 55 to 64 years","Not a youth",NA
"52",52,2021,"Oct-Dec","White","Aged 25 to 34 years","Not a youth",NA
"53",53,2020,"Apr-June","White","Aged 25 to 34 years","Not a youth",NA
"54",54,2021,"Jan-Mar","White","Aged 55 to 64 years","Not a youth",NA
"55",55,2021,"Jan-Mar","White","Aged 35 to 44 years","Not a youth",1
"56",56,2021,"July-Sept","White","Aged 35 to 44 years","Not a youth",NA
"57",57,2021,"July-Sept","White","Aged 35 to 44 years","Not a youth",1
"58",58,2021,"Apr-June","Unknown or Legacy","Aged 25 to 34 years","Not a youth",1
"59",59,2021,"Jan-Mar","White","Aged 35 to 44 years","Not a youth",1
"60",60,2021,"Jan-Mar","White","Aged 35 to 44 years","Not a youth",1
"61",61,2020,"Jan-Mar","Black","Aged 35 to 44 years","Not a youth",1
"62",62,2020,"Oct-Dec","Black","Aged 18 to 24 years","Not a youth",1
"63",63,2020,"Jan-Mar","Black","Aged 25 to 34 years","Not a youth",1
"64",64,2020,"July-Sept","Black","Aged 25 to 34 years","Not a youth",1
"65",65,2021,"Oct-Dec","Black","Aged 18 to 24 years","Not a youth",1
"66",66,2020,"July-Sept","Unknown or Legacy","Aged 35 to 44 years","Not a youth",NA
"67",67,2021,"July-Sept","White","Aged 18 to 24 years","Not a youth",NA
"68",68,2020,"July-Sept","Middle-Eastern","Aged 25 to 34 years","Not a youth",NA
"69",69,2020,"Oct-Dec","East/Southeast Asian","Aged 45 to 54 years","Not a youth",1
"70",70,2020,"Jan-Mar","South Asian","Aged 45 to 54 years","Not a youth",1
"71",71,2021,"Jan-Mar","East/Southeast Asian","Aged 55 to 64 years","Not a youth",1
"72",72,2021,"Oct-Dec","White","Aged 25 to 34 years","Not a youth",1
"73",73,2020,"July-Sept","Middle-Eastern","Aged 25 to 34 years","Not a youth",NA
"74",74,2020,"Jan-Mar","White","Aged 25 to 34 years","Not a youth",1
"75",75,2020,"Jan-Mar","White","Aged 25 to 34 years","Not a youth",1
"76",76,2021,"Jan-Mar","White","Aged 25 to 34 years","Not a youth",NA
"77",77,2020,"July-Sept","Unknown or Legacy","Aged 45 to 54 years","Not a youth",NA
"78",78,2020,"Oct-Dec","Unknown or Legacy","Aged 45 to 54 years","Not a youth",NA
"79",79,2021,"Apr-June","Unknown or Legacy","Aged 45 to 54 years","Not a youth",NA
"80",80,2021,"Apr-June","Unknown or Legacy","Aged 45 to 54 years","Not a youth",NA
"81",81,2021,"July-Sept","Unknown or Legacy","Aged 45 to 54 years","Not a youth",NA
"82",82,2021,"Oct-Dec","Unknown or Legacy","Aged 45 to 54 years","Not a youth",NA
"83",83,2020,"Jan-Mar","Black","Aged 18 to 24 years","Not a youth",NA
"84",84,2020,"Jan-Mar","Black","Aged 18 to 24 years","Not a youth",NA
"85",85,2020,"Jan-Mar","Black","Aged 18 to 24 years","Not a youth",1
"86",86,2020,"Apr-June","Black","Aged 18 to 24 years","Not a youth",1
"87",87,2020,"Apr-June","Black","Aged 18 to 24 years","Not a youth",NA
"88",88,2020,"Apr-June","Black","Aged 18 to 24 years","Not a youth",1
"89",89,2020,"July-Sept","Black","Aged 18 to 24 years","Not a youth",1
"90",90,2020,"July-Sept","Black","Aged 18 to 24 years","Not a youth",1
"91",91,2020,"July-Sept","Black","Aged 18 to 24 years","Not a youth",1
"92",92,2020,"July-Sept","Black","Aged 18 to 24 years","Not a youth",NA
"93",93,2020,"Oct-Dec","Black","Aged 18 to 24 years","Not a youth",NA
"94",94,2020,"Oct-Dec","Black","Aged 18 to 24 years","Not a youth",1
"95",95,2020,"Oct-Dec","Black","Aged 18 to 24 years","Not a youth",NA
"96",96,2021,"Jan-Mar","Black","Aged 18 to 24 years","Not a youth",NA
"97",97,2021,"Jan-Mar","Black","Aged 18 to 24 years","Not a youth",1
"98",98,2021,"Jan-Mar","Black","Aged 18 to 24 years","Not a youth",1
"99",99,2021,"Oct-Dec","Black","Aged 25 to 34 years","Not a youth",1
"100",100,2020,"Jan-Mar","Unknown or Legacy","Aged 35 to 44 years","Not a youth",NA
"101",101,2020,"Apr-June","South Asian","Aged 25 to 34 years","Not a youth",1
"102",102,2021,"Oct-Dec","White","Aged 18 to 24 years","Not a youth",1
"103",103,2021,"Jan-Mar","White","Aged 45 to 54 years","Not a youth",NA
"104",104,2020,"Oct-Dec","Black","Aged 35 to 44 years","Not a youth",1
"105",105,2020,"July-Sept","White","Aged 55 to 64 years","Not a youth",NA
"106",106,2020,"Jan-Mar","Black","Aged 25 to 34 years","Not a youth",1
